tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
3187.00;488238462_0;83.71;14.26;797.00;0.00;488232984#0_0;5.10;0.00;tripinfo_797;2390.00;797;0;1359.52;1.10;0.00;2325.18;DEFAULT_VEHTYPE;;14;2200.00
3189.00;488238458#1_0;65.31;12.08;184.00;0.00;1247582300#1_0;5.10;0.00;tripinfo_184;3005.00;184;0;2231.90;0.94;0.00;2876.67;DEFAULT_VEHTYPE;;16;2693.00
3189.00;-488439383#1_0;119.87;12.37;573.00;0.00;488232986#1_0;5.10;0.00;tripinfo_573;2616.00;573;0;1253.82;0.93;0.00;2528.00;DEFAULT_VEHTYPE;;13;2417.00
3191.00;488432651#0_0;72.73;13.49;421.00;0.00;488235612#12_0;0.20;0.00;tripinfo_421;2770.00;421;0;567.51;1.05;0.00;2729.52;DEFAULT_VEHTYPE;;12;2654.00
3194.00;488432648#2_0;73.30;5.45;260.00;0.00;488232983#0_0;5.10;0.00;tripinfo_260;2934.00;260;0;1477.11;0.75;0.00;2504.81;DEFAULT_VEHTYPE;;13;2414.00
3194.00;488232985#5_0;67.95;15.58;362.00;0.00;1105575583#0_0;5.10;0.00;tripinfo_362;2832.00;362;0;2069.02;1.20;0.00;2743.68;DEFAULT_VEHTYPE;;14;2518.00
3194.00;1247582300#1_0;100.80;13.94;926.00;0.00;488439374#0_0;5.10;0.00;tripinfo_926;2268.00;926;0;982.19;1.05;0.00;2178.54;DEFAULT_VEHTYPE;;9;2123.00
3196.00;488232983#3_0;52.25;5.82;612.00;0.00;193847184#3_0;0.20;0.00;tripinfo_612;2584.00;612;0;2508.98;1.02;0.00;2069.53;DEFAULT_VEHTYPE;;16;1867.00
3197.00;-488440840#1_0;39.55;13.96;296.00;0.00;488232997#0_0;5.10;0.00;tripinfo_296;2901.00;296;0;1640.95;1.10;0.00;2675.05;DEFAULT_VEHTYPE;;16;2525.00
3201.00;-488426771#0_0;33.53;12.97;293.00;0.00;488440851_0;5.10;0.00;tripinfo_293;2908.00;293;0;1863.40;1.14;0.00;2823.89;DEFAULT_VEHTYPE;;15;2616.00
3201.00;-488451883_0;36.14;9.43;459.00;0.00;488229186#7_0;5.10;0.00;tripinfo_459;2742.00;459;0;1467.21;0.77;0.00;2581.02;DEFAULT_VEHTYPE;;13;2470.00
3201.00;-488432655#2_0;29.96;11.10;940.00;0.00;374433108#7_0;5.10;0.00;tripinfo_940;2261.00;940;0;1935.00;0.89;0.00;1600.89;DEFAULT_VEHTYPE;;10;1537.00
